img,width,height,x1,y1,x2,y2,class
d89164381cf3ac7d51fc9d98c6b671b7.jpeg,540,720,219,242,359,375,118
eaf1593315b4bde27deb5093c452f64b.jpeg,654,604,80,292,218,456,51
bf90d0e2a8772f9d8e67d67891c68ebb.jpeg,1024,576,757,198,848,284,41
bf90d0e2a8772f9d8e67d67891c68ebb.jpeg,1024,576,164,211,265,297,41
77923a34b8240fdad5cf31ab75b7c64d.jpeg,576,1024,196,458,359,627,47
bc2c5e8d0080260abe351b5457f9a336.jpeg,1024,576,878,355,967,434,40
bc2c5e8d0080260abe351b5457f9a336.jpeg,1024,576,61,359,143,441,50
236a4df714133ae9072dcef7808cd9c5.jpeg,576,1024,130,268,443,630,29
ce32021c0c01fa9ee19dbbd5cd75269e.jpeg,720,540,234,149,389,362,104
ee98c536c1dbb3049001cab4c190039b.png,184,204,22,18,181,198,114
e635bd29ad9cbb9300ecd359c295e248.png,254,256,48,29,200,240,71
f2c52d4802f69473b3b620e4547ef75d.jpeg,676,994,126,289,306,515,101
e84fbdfa2b09f5d1a02fc237b90a123d.jpeg,576,1024,147,305,183,348,35
6b6def5de3f6ec874da74387c5e411a8.jpeg,540,720,174,401,226,457,105
c11519580bcafb67b360dd051c94c622.jpeg,576,1024,214,483,327,584,42
85979d3a012054bea7a748ab6013687b.jpeg,768,1024,422,211,626,380,42
fa2073a6916068fc82b0ca03ca858552.jpeg,586,1024,372,466,564,653,45
0ac6125df88f44ae9a606842b7d4598d.jpeg,599,526,492,213,556,280,41
4c1899fcc8543c1d65854bce2e112870.jpeg,401,769,11,300,116,401,116
428b1c3d28dde5c07d7479cec65801c3.jpeg,472,386,49,138,144,223,41
fa49428de6ff4ed7449d683a5118acf8.jpeg,560,991,40,400,195,652,3
a144808a36517976764e46ed2910c6be.jpeg,670,463,506,172,663,297,116
aeeedc8724a236043c9e3ec05d7e4d52.jpeg,321,674,117,184,221,321,41
950318d210ca1a14f8b0db064aa25d64.jpeg,720,477,376,35,527,201,47
c3f3e13086481214c6b330674436c5ed.jpeg,576,1024,244,818,369,921,50
c3f3e13086481214c6b330674436c5ed.jpeg,576,1024,241,708,343,812,43
